steamidnumber;gametitle;releasemonth;releaseyear;releaseprice;lowestestimatedownersnumber;highestestimatedownersnumber;averageestimatedownersnumber;developer;publisher
9620;TheChroniclesofQuiverDick;July;2018;299,00 Ä;20;50;35;CrankageGames;CrankageGames
9621;DemonheartHunters;January;2020;1.999,00 Ä;20;20;20;RollingCrown;RollingCrown
9622;AlekTheLostKingdom;March;2021;1.999,00 Ä;20;20;20;JessyLemieux;BlackmyersStudio
9623;GuiChuDaMaoXian;September;2018;199,00 Ä;20;20;20;;
9624;Westboro;April;2017;399,00 Ä;50;100;75;ChernovVyacheslav;Ideographer
9625;TheLordsoftheEarthFlame;September;2016;999,00 Ä;100;200;150;RhinoGames;RhinoGames
9626;UnforgivingTrialsTheSpaceCrusade;October;2016;99,00 Ä;500;1000000;750;AmaterasuSoftware;AmaterasuSoftware
9627;DuckLifeBattle;August;2018;399,00 Ä;20;20;20;WixGamesMADcom;MoFunZoneInc
9628;MarketTycoon;May;2017;999,00 Ä;20;20;20;ProtectionGames;ProtectionGames
9629;Ord;June;2019;199,00 Ä;20;20;20;MujoGamesStuffedWombat;MujoGames
9630;TheBookofLegends;March;2014;999,00 Ä;50;100;75;AldorleaGames;AldorleaGames
9631;;January;2022;799,00 Ä;20;20;20;;
9632;DarkEnd;October;2014;199,00 Ä;200;500;350;KodotsGames;KodotsGames
9633;BlazingAries;March;2022;1.899,00 Ä;20;20;20;KurotoZakka;OTAKUPlan
9634;Darklands;January;1992;699,00 Ä;20;50;35;MPSLabsMicroProse;Ziggurat
9635;Malus;March;2020;499,00 Ä;20;20;20;RahmanAbdul;teamramen
9636;BABYLONSFALL;March;2022;5.999,00 Ä;20;50;35;SquareEnixPlatinumGamesInc;SquareEnix
9637;XuanYuanSwordDanceoftheMapleLeaves;February;2021;499,00 Ä;20;20;20;DOMOStudioSOFTSTARENTERTAINMENT;SOFTSTARENTERTAINMENT
9638;CthulhuSavesChristmas;December;2019;999,00 Ä;20;20;20;ZeboydDigitalEntertainmentLLC;ZeboydDigitalEntertainmentLLC
9639;DevilsDungeon;February;2022;199,00 Ä;20;50;35;HoneyPie;HoneyPie
9640;DarkHeroParty;April;2020;1.124,00 Ä;20;50;35;UROOM;KaguraGames
9641;AppleSlash;February;2020;319,00 Ä;20;20;20;Agelvik;Agelvik
9642;VenusBloodHOLLOWInternational;January;2022;4.499,00 Ä;20;50;35;NinetailDualtail;JASTUSAKaguraGamesChineseVersion
9643;DungeonDreams;February;2019;1.199,00 Ä;20;20;20;DDreamsGames;DDreamsGames
9644;TheBrokenSeal;January;2018;1.899,00 Ä;20;20;20;XAREA;XAREA
9645;SaintSlaughterXDays;July;2018;299,00 Ä;20;20;20;Hollowings;YAMAYURIGAMES
9646;DroxOperative2;October;2021;1.999,00 Ä;20;20;20;SoldakEntertainment;SoldakEntertainment
9647;MagicalValkyrieLyristia;July;2021;1.199,00 Ä;20;50;35;ShiBoo!;KaguraGames
9648;METALMAXXenoReborn;June;2022;3.999,00 Ä;20;20;20;Cygames;PQube
9649;DevilsDeck;March;2022;1.499,00 Ä;20;20;20;TouchTimesStudio;TouchTimesStudio
9650;KATANAKAMIAWayoftheSamuraiStory;February;2020;2.999,00 Ä;20;20;20;AcquireCorp;SpikeChunsoftCoLtd
9651;ê;September;2020;799,00 Ä;20;20;20;CHARON;Pujia8Studio
9652;ChevalierHistorie;February;2022;1.599,00 Ä;20;20;20;PICOPICOSOFT;KaguraGames
9653;PizzaExpress;June;2015;699,00 Ä;20;50;35;OnniInteractive;PlugInDigital
9654;TheWithering;December;2015;999,00 Ä;20;50;35;CMSoftworks;CMSoftworks
9655;HolyKnightLuviria;November;2019;1.199,00 Ä;20;20;20;DaijyobiInstitute;KaguraGames
9656;DungeonJourney;June;2016;199,00 Ä;50;100;75;CarbombSoftwareNovaDimension;NovaDimension
9657;HalftimeHeroes;March;2022;2,00 Ä;20;50;35;BigbootStudios;BigbootStudios
9658;AcademagiaTheMakingofMages;August;2010;1.599,00 Ä;20;50;35;BlackChickenStudiosinc;BlackChickenStudiosinc
9659;ExplorerofYggdrasil;March;2021;1.599,00 Ä;20;50;35;BlackTrain;KaguraGames
9660;SWORDSofGARGANTUA;June;2019;1.999,00 Ä;20;50;35;ThirdverseCoLtd;ThirdverseCoLtd
9661;DeadGrid;March;2022;999,00 Ä;20;20;20;ATOMVOID;ATOMVOID
9662;GranSkreaOnline;June;2018;999,00 Ä;20;50;35;GranSkreaOnline;GranSkreaOnline
9663;KofiQuestAlphaMOD;January;2020;1.999,00 Ä;20;20;20;LofturStudio;LofturStudio
9664;Dujanah;September;2017;699,00 Ä;20;50;35;JKingSpooner;erm
9665;HeroandDaughter;February;2016;999,00 Ä;20;50;35;TachiVakaGameMagazine;VakaGameMagazine
9666;VoiceActress;November;2017;199,00 Ä;20;20;20;Dieselmine;Dieselmine
9667;ArtificialExtinction;March;2020;1.399,00 Ä;20;20;20;100HrGames;100HrGames
9668;RebornInWildCityç;November;2018;299,00 Ä;20;50;35;;
9669;SOTA2;July;2021;499,00 Ä;20;50;35;SOTAGames;SOTAGames
9670;Clocker;February;2019;1.199,00 Ä;20;50;35;WildKidGames;indienova
9671;SaintEmiliana;September;2020;1.399,00 Ä;20;50;35;WhiteMoor;KaguraGames
9672;SentinelsofFreedom;April;2020;2.499,00 Ä;20;50;35;UnderbiteGames;UnderbiteGames
9673;TheCaligulaEffect2;June;2022;4.999,00 Ä;20;20;20;historiaIncFURYUCorporation;historiaInc
9674;EventheOcean;November;2016;1.499,00 Ä;20;20;20;MelosHanTaniMarinaKittaka;AnalgesicProductions
9675;WhiskeyMafiaLeosFamily;July;2020;899,00 Ä;20;20;20;FastGameVICTORIAGames;FastGame
9676;LelieNavigation;December;2021;1.199,00 Ä;20;20;20;AtelierChoice;KaguraGames
9677;Highlands;April;2015;499,00 Ä;20;50;35;BurritoStudio;BurritoStudio
9678;LoveFantasy;March;2021;199,00 Ä;20;50;35;MatureGames;MatureGames
9679;DashBored;June;2016;499,00 Ä;50;100;75;FadingClub;FadingClub
9680;MARDEK;June;2020;999,00 Ä;20;20;20;TobiasCornwall;TobiasCornwall
9681;†èçValenciaSagaSophiasrebirth;September;2018;699,00 Ä;20;50;35;;
9682;RuneKnights;November;2020;1.004,00 Ä;20;20;20;SuperheroGames;SuperheroGames
9683;ThereIsNoLight;September;2022;2.249,00 Ä;20;20;20;Zelart;HypeTrainDigital
9684;LUNA;November;2020;0,00 Ä;50;100;75;Simple;PsychoFluxEntertainment
9685;FILTHYUS;December;2021;199,00 Ä;20;20;20;GameLogicStudio;GameLogicStudio
9686;EpicTavern;September;2017;2.499,00 Ä;20;20;20;HyperkineticStudios;EpicTavernHoldings
9687;IntergalacticFishing;April;2020;1.499,00 Ä;20;20;20;BoatAnchorGames;BoatAnchorGames
9688;êÅçÅ~HappyStealingwithKirisameMarisa;June;2018;99,00 Ä;20;50;35;BawuTeam;BawuTeam
9689;TheHandofMerlin;June;2022;2.499,00 Ä;20;20;20;RoomCGamesCroteam;VersusEvil
9690;MugenSouls;October;2015;1.999,00 Ä;50;100;75;IdeaFactory;GhostlightLTD
9691;JawsOfExtinction;May;2019;1.999,00 Ä;20;20;20;KYECreations;ForthrightEntertainment
9692;è†è;December;2020;399,00 Ä;20;20;20;HIROKOIMAKI;Pujia8Studio
9693;ForgottenNotLostAKineticNovel;April;2016;199,00 Ä;50;100;75;AfterthoughtStudios;AfterthoughtStudios
9694;AtelierTotori~TheAdventurerofArland~DX;December;2018;3.999,00 Ä;20;20;20;KOEITECMOGAMESCOLTD;KOEITECMOGAMESCOLTD
9695;HotelAnatolia;March;2017;51,00 Ä;100;200;150;ElvenWorkshop;ElvenWorkshop
9696;CalcuLate;March;2016;99,00 Ä;500;1000000;750;BlazingFanfish;BackToBasicsGaming
9697;IamWeaponRevival;July;2016;1.599,00 Ä;20;50;35;Krealit;Krealit
9698;foxsoldier;April;2022;1.499,00 Ä;20;20;20;yousoisadboy;Yousoi
9699;DarkScavenger;May;2014;499,00 Ä;50;100;75;PsydraGamesLLC;PsydraGamesLLC
9700;WoYaoDaÅ;September;2017;299,00 Ä;20;20;20;PINGYILIN;PINGYILIN
9701;BehindtheScreen;April;2018;899,00 Ä;20;20;20;18LightGameLtd;18LightGameLtdCheeseGames
9702;UsotsukiGameè;March;2018;199,00 Ä;20;20;20;StudioWasabi;Pujia8StudioGameraGame
9703;MillionDungeon;June;2020;1.299,00 Ä;20;50;35;TallRoadStudio;BokeTechnologyCoLtd
9704;HalluciSabbatofKoishi;January;2022;499,00 Ä;20;20;20;†;†ZRIGN
9705;THEIMPOSSIBLE;July;2020;499,00 Ä;200;500;350;IMPOSSIBLEINCAirem;Airem
9706;HeroesofSteelRPG;April;2014;999,00 Ä;100;200;150;TreseBrothers;TreseBrothers
9707;DontBiteMeBro;July;2018;99,00 Ä;50;100;75;MUIFWEGO;MUIFWEGO
9708;Shigatari;August;2017;299,00 Ä;20;20;20;SuperLegitGames;SuperLegitGames
9709;AtelierMeruru~TheApprenticeofArland~DX;December;2018;3.999,00 Ä;20;20;20;KOEITECMOGAMESCOLTD;KOEITECMOGAMESCOLTD
9710;HimnoTheSilentMelody;October;2021;1.199,00 Ä;20;50;35;DavidMoralejoSnchez;GrabTheGames
9711;ThorneDeathMerchants;March;2016;399,00 Ä;50;100;75;ThorneGames;AldorleaGames
9712;TheEndlessJourney;January;2018;649,00 Ä;20;20;20;YETUGAME;YETUGAME
9713;TheMorrigan;March;2020;1.999,00 Ä;20;20;20;ThePixelMineLtd;ThePixelMineLtd
9714;Pharaonic;April;2016;1.499,00 Ä;50;100;75;MilkstoneStudios;MilkstoneStudios
9715;TowerofWaifus;April;2021;199,00 Ä;20;50;35;Galart;Galart
9716;Windscape;March;2019;1.999,00 Ä;20;50;35;MagicSandbox;Headup
9717;DarkSASI;May;2018;69,00 Ä;20;20;20;NarkoGames;NarkoGames
9718;NeptuniaVirtualStars;March;2021;3.999,00 Ä;20;20;20;IdeaFactoryCompileHeart;IdeaFactoryInternational
9719;ReignMaker;April;2014;1.499,00 Ä;50;100;75;Frogdice;Frogdice
9720;FreedomForcevstheThirdReich;March;2005;499,00 Ä;100;200;150;IrrationalGames;2K
9721;Tren0;February;2018;299,00 Ä;50;100;75;Bubble;INDIECN
9722;LootRiver;May;2022;2.499,00 Ä;20;20;20;strakastudio;strakastudioSUPERHOTPRESENTS
9723;BaldursGateDarkAllianceII;July;2022;2.999,00 Ä;20;50;35;SquareOneGamesIncBlackIsleStudios;InterplayEntertainmentCorp
9724;NALOGI2;May;2018;199,00 Ä;20;50;35;CUTEANIMEGIRLS;Tranquilitygames
9725;BloodyRallyShow;February;2020;1.999,00 Ä;20;20;20;KodoLinija;KodoLinija
9726;InterrogationYouwillbedeceived;December;2019;1.299,00 Ä;20;50;35;CritiqueGaming;AssembleEntertainment
9727;Avernum3RuinedWorld;January;2018;1.999,00 Ä;50;100;75;SpiderwebSoftware;SpiderwebSoftware
