steamidnumber;gametitle;releasemonth;releaseyear;releaseprice;lowestestimatedownersnumber;highestestimatedownersnumber;averageestimatedownersnumber;developer;publisher
1;DiscoElysiumTheFinalCut;October;2019;3.999,00 Ä;1000000;2000000;1500000;ZA/UM;ZA/UM
2;BioShock;August;2007;499,00 Ä;1000000;2000000;1500000;2KBoston2KAustralia;2K
3;MassEffect22010;January;2010;1.999,00 Ä;1000000;2000000;1500000;BioWare;ElectronicArts
4;MassEffect2DigitalDeluxeEdition;January;2010;2.999,00 Ä;1000000;2000000;1500000;BioWare;ElectronicArts
5;DivinityOriginalSinEnhancedEdition;October;2015;3.999,00 Ä;1000000;2000000;1500000;LarianStudios;LarianStudios
6;TheElderScrollsIVOblivionGameoftheYearEdition;September;2007;1.499,00 Ä;1000000;2000000;1500000;BethesdaGameStudios;BethesdaSoftworks
7;TheElderScrollsVSkyrim;November;2011;1.999,00 Ä;5000000;10000000;7500000;BethesdaGameStudios;BethesdaSoftworks
8;ELDENRING;February;2022;5.999,00 Ä;20000000;50000000;35000000;FromSoftwareInc;FromSoftwareIncBandaiNamcoEntertainment
9;GodofWar;January;2022;4.999,00 Ä;2000000;5000000;3500000;SantaMonicaStudio;PlayStationPCLLC
10;DivinityOriginalSin2DefinitiveEdition;September;2017;4.499,00 Ä;5000000;10000000;7500000;LarianStudios;LarianStudios
11;Hades;September;2020;1.499,00 Ä;5000000;10000000;7500000;SupergiantGames;SupergiantGames
12;TheWitcher3WildHunt;May;2015;3.999,00 Ä;10000000;20000000;15000000;CDPROJEKTRED;CDPROJEKTRED
13;SystemShock2;August;1999;999,00 Ä;500;1000000;750;NightdiveStudiosIrrationalGamesLookingGlassStudios;NightdiveStudios
14;Undertale;September;2015;999,00 Ä;2000000;5000000;3500000;tobyfox;tobyfox
15;TheLongestJourney;November;2000;999,00 Ä;200;500;350;Funcom;Funcom
16;DragonAgeOrigins;November;2009;2.999,00 Ä;500;1000000;750;BioWare;ElectronicArts
17;Fallout3;October;2008;999,00 Ä;500;1000000;750;BethesdaGameStudios;BethesdaSoftworks
18;DragonAgeOriginsUltimateEdition;October;2010;2.999,00 Ä;1000000;2000000;1500000;BioWare;ElectronicArts
19;DeusExHumanRevolutionDirectorsCut;October;2013;1.999,00 Ä;2000000;5000000;3500000;EidosMontreal;SquareEnix
20;Fallout3GameoftheYearEdition;October;2009;1.999,00 Ä;2000000;5000000;3500000;BethesdaGameStudios;BethesdaSoftworks
21;DARKSOULSII;April;2014;2.499,00 Ä;1000000;2000000;1500000;FromSoftwareInc;BANDAINAMCOEntertainmentFromSoftwareInc
22;CrusaderKingsIII;September;2020;4.999,00 Ä;2000000;5000000;3500000;ParadoxDevelopmentStudio;ParadoxInteractive
23;ChicoryAColorfulTale;June;2021;1.999,00 Ä;20;50;35;GregLobanovAlexisDeanJonesLenaRaineMadelineBergerAShellinthePit;Finji
24;GuildWars2;August;2022;0,00 Ä;500;1000000;750;ArenaNet;NCSOFT
25;IntotheBreach;February;2018;1.499,00 Ä;1000000;2000000;1500000;SubsetGames;SubsetGames
26;FreedomForce;March;2002;499,00 Ä;200;500;350;IrrationalGames;2K
27;GuildWarsGameoftheYearEdition;April;2005;1.999,00 Ä;20;20;20;ArenaNet;NCSOFT
28;MassEffect3N7DigitalDeluxeEdition2012;March;2012;2.999,00 Ä;500;1000000;750;BioWare;ElectronicArts
29;FalloutAPostNuclearRolePlayingGame;September;1997;999,00 Ä;2000000;5000000;3500000;InterplayInc;BethesdaSoftworks
30;MassEffect2007;May;2008;1.999,00 Ä;1000000;2000000;1500000;BioWare;ElectronicArts
31;NuclearThrone;December;2015;1.199,00 Ä;500;1000000;750;Vlambeer;Vlambeer
32;PillarsofEternity;March;2015;2.999,00 Ä;1000000;2000000;1500000;ObsidianEntertainment;ParadoxInteractive
33;TheElderScrollsIIIMorrowindGameoftheYearEdition;April;2002;1.499,00 Ä;1000000;2000000;1500000;BethesdaGameStudios;BethesdaSoftworks
34;Borderlands2;September;2012;1.999,00 Ä;10000000;20000000;15000000;GearboxSoftwareAspyrMacAspyrLinux;2KAspyrMacAspyrLinux
35;StardewValley;February;2016;1.499,00 Ä;10000000;20000000;15000000;ConcernedApe;ConcernedApe
36;SidMeiersPirates;July;2005;999,00 Ä;200;500;350;FiraxisGames;2K
37;RogueLegacy2;April;2022;2.499,00 Ä;200;500;350;CellarDoorGames;CellarDoorGames
38;PillarsofEternityIIDeadfire;May;2018;3.999,00 Ä;500;1000000;750;ObsidianEntertainment;VersusEvilObsidianEntertainment
39;EVEOnline;May;2003;0,00 Ä;2000000;5000000;3500000;CCP;CCP
40;TorchlightII;September;2012;749,00 Ä;500;1000000;750;RunicGames;RunicGames
41;TheWitcher2AssassinsofKingsEnhancedEdition;May;2011;1.999,00 Ä;2000000;5000000;3500000;CDPROJEKTRED;CDPROJEKTRED1CSoftClub
42;HEXShardsofFate;April;2016;0,00 Ä;200;500;350;HexEntertainment;HexEntertainment
43;Unavowed;August;2018;1.499,00 Ä;100;200;150;WadjetEyeGames;WadjetEyeGames
44;SunlessSkiesSovereignEdition;January;2019;2.499,00 Ä;500;1000000;750;FailbetterGames;FailbetterGames
45;ShadowrunDragonfallDirectorsCut;September;2014;1.499,00 Ä;500;1000000;750;HarebrainedSchemes;ParadoxInteractive
46;WestofLoathing;August;2017;1.099,00 Ä;500;1000000;750;Asymmetric;Asymmetric
47;DivinityOriginalSinClassic;June;2014;3.999,00 Ä;1000000;2000000;1500000;LarianStudios;LarianStudios
48;Wildermyth;June;2021;1.874,00 Ä;200;500;350;WorldwalkerGamesLLC;WorldwalkerGamesLLCWhisperGames
49;CryptoftheNecroDancer;April;2015;1.499,00 Ä;2000000;5000000;3500000;BraceYourselfGames;BraceYourselfGamesKleiEntertainment
50;OMORI;December;2020;1.999,00 Ä;500;1000000;750;OMOCATLLC;OMOCATLLC
51;Persona4Golden;June;2020;1.999,00 Ä;1000000;2000000;1500000;ATLUS;SEGA
52;Wasteland2DirectorsCut;September;2014;1.499,00 Ä;500;1000000;750;inXileEntertainment;inXileEntertainment
53;DyingLight;January;2015;2.999,00 Ä;20;20;20;Techland;Techland
54;SixAgesRideLiketheWind;October;2019;1.999,00 Ä;20;50;35;ASharp;KitfoxGames
55;AgeofWondersIITheWizardsThrone;October;2010;999,00 Ä;50;100;75;TriumphStudios;ParadoxInteractive
56;ê;August;2018;1.299,00 Ä;20;50;35;NerdookProductions;SurefireGames
57;DungeonSiege;April;2002;699,00 Ä;500;1000000;750;GasPoweredGames;SquareEnix
58;BugFablesTheEverlastingSapling;November;2019;1.999,00 Ä;50;100;75;MoonsproutGames;DANGENEntertainment
59;Fallout2APostNuclearRolePlayingGame;August;2009;999,00 Ä;500;1000000;750;BlackIsleStudios;BethesdaSoftworks
60;CrossCode;September;2018;1.999,00 Ä;200;500;350;RadicalFishGames;Deck13WhisperGamesDANGENEntertainmentMayflowerEntertainment
61;TheLordoftheRingsOnline;June;2012;0,00 Ä;2000000;5000000;3500000;StandingStoneGamesLLC;StandingStoneGamesLLC
62;ENDERLILIESQuietusoftheKnights;June;2021;2.499,00 Ä;200;500;350;LiveWireAdglobe;BinaryHazeInteractive
63;Nioh2TheCompleteEdition;February;2021;2.999,00 Ä;500;1000000;750;KOEITECMOGAMESCOLTD;KOEITECMOGAMESCOLTD
64;MassEffectLegendaryEdition;May;2021;5.999,00 Ä;500;1000000;750;BioWare;ElectronicArts
65;Bastion;August;2011;224,00 Ä;2000000;5000000;3500000;SupergiantGames;SupergiantGames
66;Yakuza0;August;2018;1.999,00 Ä;1000000;2000000;1500000;SEGA;SEGA
67;TheWitcherEnhancedEditionDirectorsCut;September;2008;999,00 Ä;1000000;2000000;1500000;CDPROJEKTRED;CDPROJEKTRED1CSoftClub
68;PathofExile;October;2013;0,00 Ä;20000000;50000000;35000000;GrindingGearGames;GrindingGearGames
69;Cyberpunk2077;December;2020;5.999,00 Ä;10000000;20000000;15000000;CDPROJEKTRED;CDPROJEKTRED
70;Wizardry8;November;2001;999,00 Ä;100;200;150;SirTechCanada;DrecomCoLtdNightdiveStudios
71;ChaosReborn;October;2015;999,00 Ä;50;100;75;SnapshotGamesInc;SnapshotGamesInc
72;SystemShockEnhancedEdition;September;2015;999,00 Ä;200;500;350;LookingGlassStudiosNightdiveStudios;NightdiveStudios
73;FullMetalFuries;January;2018;1.999,00 Ä;200;500;350;CellarDoorGames;CellarDoorGames
74;PlanescapeTormentEnhancedEdition;April;2017;1.999,00 Ä;200;500;350;Beamdog;Beamdog
75;TUNIC;March;2022;2.999,00 Ä;200;500;350;TUNICTeam;Finji
76;DRAGONQUESTBUILDERS2;December;2019;2.999,00 Ä;200;500;350;SquareEnixKOEITECMOGAMESCOLTD;SquareEnix
77;TheLegendofHeroesTrailsintheSky;July;2014;1.999,00 Ä;200;500;350;NihonFalcom;XSEEDGamesMarvelousUSAInc
78;DragonAgeInquisition;June;2020;3.999,00 Ä;200;500;350;BioWare;ElectronicArts
79;DeathsDoor;July;2021;1.999,00 Ä;200;500;350;AcidNerve;DevolverDigital
80;ThronebreakerTheWitcherTales;November;2018;1.999,00 Ä;500;1000000;750;CDPROJEKTRED;CDPROJEKTRED
81;Wasteland3;August;2020;1.649,00 Ä;200;500;350;inXileEntertainment;inXileEntertainment
82;RogueLegacy;June;2013;1.499,00 Ä;1000000;2000000;1500000;CellarDoorGames;CellarDoorGames
83;STARWARSKnightsoftheOldRepublicIITheSithLords;February;2005;999,00 Ä;1000000;2000000;1500000;ObsidianEntertainmentAspyrMacLinux&WindowsUpdate;LucasArtsDisneyLucasfilmAspyrMacLinux
84;STARWARSTheOldRepublic;December;2011;0,00 Ä;5000000;10000000;7500000;BioWare;ElectronicArts
85;DARKSOULSPrepareToDieEdition;August;2012;499,00 Ä;2000000;5000000;3500000;FromSoftware;BandaiNamcoEntertainment
86;GiantsCitizenKabuto;December;2000;999,00 Ä;20;20;20;PlanetMoonStudios;Interplay
87;GuildWarsFactions;April;2009;1.999,00 Ä;20;20;20;ArenaNet;NCSOFT
88;GuildWarsNightfall;April;2009;1.999,00 Ä;20;20;20;ArenaNet;NCSOFT
89;FalloutNewVegasOldWorldBlues;October;2010;999,00 Ä;20;20;20;ObsidianEntertainment;BethesdaSoftworks
90;WaywardStrand;September;2022;1.999,00 Ä;20;20;20;ghostpattern;ghostpattern
91;FugaMelodiesofSteel;July;2021;3.999,00 Ä;20;50;35;CyberConnect2;CyberConnect2
92;ReignsGameofThrones;October;2018;399,00 Ä;50;100;75;Nerial;DevolverDigital
93;TheBardsTaleIVDirectorsCut;August;2019;1.749,00 Ä;20;50;35;inXileEntertainment;inXileEntertainment
94;Infernax;February;2022;1.999,00 Ä;20;50;35;BerzerkStudio;TheArcadeCrew
95;UNSIGHTED;September;2021;1.999,00 Ä;20;50;35;StudioPixelPunk;HumbleGames
96;AtelierRyza2LostLegends&theSecretFairy;January;2021;2.999,00 Ä;100;200;150;KOEITECMOGAMESCOLTD;KOEITECMOGAMESCOLTD
97;GordianQuest;June;2022;1.999,00 Ä;50;100;75;MixedRealmsPteLtdSwagSoftHoldingsPteLtd;MixedRealmsPteLtdCoconutIslandGames
98;Rakuen;May;2017;999,00 Ä;100;200;150;LauraShigihara;LauraShigihara
99;TheForgottenCity;July;2021;2.499,00 Ä;200;500;350;ModernStoryteller;DearVillagers
100;RIFT;October;2013;0,00 Ä;2000000;5000000;3500000;gamigoUSInc;gamigoUSInc
101;FINALFANTASYIX;April;2016;1.049,00 Ä;500;1000000;750;SquareEnix;SquareEnix
102;HyperLightDrifter;March;2016;1.999,00 Ä;500;1000000;750;HeartMachine;HeartMachine
103;SaltandSanctuary;May;2016;1.799,00 Ä;500;1000000;750;SkaStudios;SkaStudios
104;ICEY;November;2016;1.099,00 Ä;500;1000000;750;FantaBladeNetwork;XD
105;TalesofArise;September;2021;5.999,00 Ä;2000000;5000000;3500000;BandaiNamcoStudiosInc;BandaiNamcoEntertainment
106;NiohCompleteEdition;November;2017;1.249,00 Ä;1000000;2000000;1500000;KOEITECMOGAMESCOLTD;KOEITECMOGAMESCOLTD
107;SPORE;December;2008;499,00 Ä;2000000;5000000;3500000;Maxis;ElectronicArts
108;FalloutNewVegas;October;2010;999,00 Ä;500;1000000;750;ObsidianEntertainment;BethesdaSoftworks
109;TheBindingofIsaac;September;2011;499,00 Ä;2000000;5000000;3500000;EdmundMcMillenFlorianHimsl;EdmundMcMillen
110;NieRAutomata;March;2017;3.999,00 Ä;1000000;2000000;1500000;SquareEnixPlatinumGamesInc;SquareEnix
111;DarkestDungeon;January;2016;2.499,00 Ä;2000000;5000000;3500000;RedHookStudios;RedHookStudios
112;Fallout4;November;2015;1.999,00 Ä;5000000;10000000;7500000;BethesdaGameStudios;BethesdaSoftworks
113;SilentStormGoldEdition;September;2004;999,00 Ä;100;200;150;Nival;THQNordic
114;Demeo;May;2021;2.999,00 Ä;100;200;150;ResolutionGames;ResolutionGames
115;TheLegendofHeroesTrailsintheSkythe3rd;May;2017;2.999,00 Ä;100;200;150;NihonFalcom;XSEEDGamesMarvelousUSAInc
116;AtelierSophie2TheAlchemistoftheMysteriousDream;February;2022;5.999,00 Ä;50;100;75;KOEITECMOGAMESCOLTD;KOEITECMOGAMESCOLTD
117;EverQuestII;December;2011;0,00 Ä;500;1000000;750;DarkpawGames;DaybreakGameCompany
118;ValdisStoryAbyssalCity;October;2013;1.499,00 Ä;200;500;350;EndlessfluffGames;EndlessfluffGames
119;CrownTrick;October;2020;1.999,00 Ä;200;500;350;NEXTStudios;Team17NEXTStudios
120;ValkyriaChronicles4CompleteEdition;September;2018;4.999,00 Ä;200;500;350;SEGA;SEGA
121;Torchlight;October;2009;749,00 Ä;1000000;2000000;1500000;RunicGames;RunicGames
122;FableTheLostChapters;December;2011;249,00 Ä;500;1000000;750;LionheadStudios;XboxGameStudios
123;Everhood;March;2021;999,00 Ä;200;500;350;ChrisNordgrenJordiRoca;ForeignGnomesSurefireGames
124;TheRiftbreaker;October;2021;2.099,00 Ä;1000000;2000000;1500000;EXORStudios;EXORStudiosSurefireGames
125;YakuzaLikeaDragon;November;2020;5.999,00 Ä;200;500;350;RyuGaGotokuStudio;SEGA
126;OrcsMustDie2;July;2012;1.499,00 Ä;2000000;5000000;3500000;RobotEntertainment;RobotEntertainment
127;PathfinderWrathoftheRighteous;September;2021;4.999,00 Ä;1000000;2000000;1500000;OwlcatGames;METAPublishingOwlcatGames
128;Transistor;May;2014;1.999,00 Ä;1000000;2000000;1500000;SupergiantGames;SupergiantGames
129;DeusExMankindDivided;August;2016;2.999,00 Ä;2000000;5000000;3500000;EidosMontrealFeralInteractiveLinuxFeralInteractiveMac;SquareEnixFeralInteractiveLinuxFeralInteractiveMac
130;FINALFANTASYXIVOnline;February;2014;1.999,00 Ä;2000000;5000000;3500000;SquareEnix;SquareEnix
131;GrimDawn;February;2016;2.499,00 Ä;5000000;10000000;7500000;CrateEntertainment;CrateEntertainment
132;Terraria;May;2011;999,00 Ä;20000000;50000000;35000000;ReLogic;ReLogic
133;PuzzleQuest2;August;2010;499,00 Ä;50;100;75;InfiniteInteractive;NamcoNetworksAmericaInc
134;DarkMaus;January;2016;999,00 Ä;20;50;35;DanielWright;DanielWright
135;GerdaAFlameinWinter;September;2022;1.999,00 Ä;20;20;20;PortaPlay;DON'TNOD
136;RainbowBillyTheCurseoftheLeviathan;October;2021;1.999,00 Ä;20;20;20;ManaVoidEntertainment;SkyboundGames
137;DragonAgeOriginsAwakening;March;2010;999,00 Ä;100;200;150;BioWare;ElectronicArts
138;Avadon2TheCorruption;October;2013;999,00 Ä;100;200;150;SpiderwebSoftware;SpiderwebSoftware
139;CreepyCastle;October;2016;999,00 Ä;20;20;20;Dopterra;NicalisInc
140;BatbarianTestamentofthePrimordials;October;2020;1.999,00 Ä;20;20;20;UnspeakablePixels;DANGENEntertainment
141;DemeoPCEdition;April;2022;2.999,00 Ä;20;50;35;ResolutionGames;ResolutionGames
142;JimmyandthePulsatingMass;August;2018;1.499,00 Ä;20;50;35;KaseyOzymy;KaseyOzymy
143;AgeofWondersShadowMagic;October;2010;999,00 Ä;100;200;150;TriumphStudios;ParadoxInteractive
144;KingsBountyArmoredPrincess;November;2009;999,00 Ä;500;1000000;750;KatauriInteractive;FulqrumPublishing
145;DesktopDungeons;November;2013;1.499,00 Ä;100;200;150;QCFDesign;QCFDesign
146;CitizenSleeper;May;2022;1.599,00 Ä;50;100;75;JumpOverTheAge;FellowTraveller
147;TheBannerSaga3;July;2018;2.499,00 Ä;100;200;150;Stoic;StoicStudio
148;DragonAgeIIUltimateEdition;June;2020;2.999,00 Ä;500;1000000;750;BioWare;ElectronicArts
149;TheBannerSaga2;April;2016;2.499,00 Ä;200;500;350;Stoic;StoicStudio
150;WildStar;June;2014;0,00 Ä;1000000;2000000;1500000;CarbineStudios;NCSOFT
151;TheLifeandSufferingofSirBrante;March;2021;1.999,00 Ä;100;200;150;Sever;101XP
152;FellSealArbitersMark;April;2019;2.999,00 Ä;200;500;350;6EyesStudio;FulqrumPublishing
153;TaintedGrailConquest;May;2021;1.999,00 Ä;100;200;150;AwakenRealmsDigital;AwakenRealms
154;LegendofGrimrock;April;2012;1.499,00 Ä;500;1000000;750;AlmostHumanGames;AlmostHumanGames
155;RecettearAnItemShopsTale;September;2010;1.999,00 Ä;500;1000000;750;EasyGameStation;CarpeFulgurLLC
156;Pyre;July;2017;1.999,00 Ä;500;1000000;750;SupergiantGames;SupergiantGames
157;Gloomhaven;October;2021;3.499,00 Ä;200;500;350;FlamingFowlStudios;TwinSailsInteractive
158;YakuzaKiwami2;May;2019;1.999,00 Ä;200;500;350;SEGA;SEGA
159;Eastward;September;2021;2.499,00 Ä;200;500;350;Pixpil;Chucklefish
160;MonsterHunterStories2WingsofRuin;July;2021;2.999,00 Ä;1000000;2000000;1500000;CAPCOMCoLtd;CAPCOMCoLtd
161;ChildrenofMorta;September;2019;747,00 Ä;1000000;2000000;1500000;DeadMage;11bitstudios
162;ENDLESSLegend;September;2014;2.999,00 Ä;1000000;2000000;1500000;AMPLITUDEStudios;SEGA
163;TheOuterWorlds;October;2020;5.999,00 Ä;500;1000000;750;ObsidianEntertainment;PrivateDivision
164;STALKERShadowofChernobyl;March;2007;1.999,00 Ä;1000000;2000000;1500000;GSCGameWorld;GSCGameWorld
165;RealmoftheMadGodExalt;February;2012;0,00 Ä;2000000;5000000;3500000;WildShadowStudiosDecaGames;DecaGames
166;CrusaderKingsII;February;2012;0,00 Ä;2000000;5000000;3500000;ParadoxDevelopmentStudio;ParadoxInteractive
167;LoneSurvivorTheDirectorsCut;April;2012;1.499,00 Ä;200;500;350;JasperByrne;SuperflatGames
168;ArcanumOfSteamworksandMagickObscura;August;2001;599,00 Ä;200;500;350;TroikaGames;Activision
169;Disgaea2PC;January;2017;1.999,00 Ä;100;200;150;NipponIchiSoftwareInc;NISAmericaInc
170;JadeEmpireSpecialEdition;February;2007;1.499,00 Ä;200;500;350;BioWare;BioWareElectronicArts
171;StygianReignoftheOldOnes;September;2019;1.999,00 Ä;100;200;150;CulticGames;FulqrumPublishing
172;Ashen;December;2019;1.199,00 Ä;100;200;150;A44;AnnapurnaInteractive
173;TheLegendofHeroesTrailsofColdSteelII;February;2018;3.999,00 Ä;50;100;75;NihonFalcom;XSEEDGamesMarvelousUSAInc
174;TrialsofFire;April;2021;1.999,00 Ä;100;200;150;WhatboyGames;WhatboyGames
175;DivineDivinity;September;2002;599,00 Ä;500;1000000;750;LarianStudios;LarianStudios
176;ParadiseKiller;September;2020;999,00 Ä;200;500;350;KaizenGameWorks;FellowTravellerLeoful
177;TheAgeofDecadence;October;2015;1.299,00 Ä;50;100;75;IronTowerStudio;IronTowerStudio
178;GRIME;August;2021;2.499,00 Ä;100;200;150;CloverBite;AkuparaGames
179;TormentTidesofNumenera;February;2017;1.154,00 Ä;200;500;350;inXileEntertainment;inXileEntertainment
180;DeathsGambitAfterlife;August;2018;1.999,00 Ä;200;500;350;WhiteRabbit;SerenityForge
181;ShadowrunHongKongExtendedEdition;August;2015;1.999,00 Ä;500;1000000;750;HarebrainedSchemes;ParadoxInteractive
182;Suzerain;December;2020;749,00 Ä;500;1000000;750;TorporGames;FellowTraveller
183;SteamWorldHeist;June;2016;299,00 Ä;500;1000000;750;Image&FormGames;Image&FormGames
184;FISTForgedInShadowTorch;October;2021;2.999,00 Ä;200;500;350;TiGames;bilibili
185;EmilyisAwayToo;May;2017;499,00 Ä;200;500;350;KyleSeeley;KyleSeeley
186;Warhammer40000ChaosGateDaemonhunters;May;2022;4.499,00 Ä;200;500;350;ComplexGames;FrontierFoundry
187;Overlord;June;2007;499,00 Ä;500;1000000;750;TriumphStudios;CodemastersElectronicArts
188;Faeria;March;2017;1.999,00 Ä;500;1000000;750;AbrakamEntertainmentSA;VersusEvil
189;TheElderScrollsVSkyrimVR;April;2018;5.999,00 Ä;500;1000000;750;BethesdaGameStudios;BethesdaSoftworks
190;SUNLESSSEA;February;2015;1.899,00 Ä;1000000;2000000;1500000;FailbetterGames;FailbetterGames
191;NinoKuniIIRevenantKingdom;March;2018;5.999,00 Ä;500;1000000;750;Level5;BANDAINAMCOEntertainment
192;Gothic1;March;2001;999,00 Ä;500;1000000;750;PiranhaBytes;THQNordic
193;KingdomsofAmalurReckoning;July;1989;3.999,00 Ä;1000000;2000000;1500000;BigHugeGames38Studios;38StudiosElectronicArts
194;FindingParadise;December;2017;999,00 Ä;200;500;350;FreebirdGames;FreebirdGames
195;DungeonDefenders;October;2011;1.499,00 Ä;2000000;5000000;3500000;TrendyEntertainment;TrendyEntertainment
196;DragonsDogmaDarkArisen;January;2016;479,00 Ä;1000000;2000000;1500000;Capcom;Capcom
197;BorderlandsGameoftheYear;June;1983;2.999,00 Ä;2000000;5000000;3500000;GearboxSoftware;2K
198;TotheMoon;September;2012;999,00 Ä;1000000;2000000;1500000;FreebirdGames;FreebirdGames
199;Borderlands3;March;2020;5.999,00 Ä;2000000;5000000;3500000;GearboxSoftware;2K
200;Starbound;July;2016;1.499,00 Ä;2000000;5000000;3500000;Chucklefish;Chucklefish
201;StrongholdAHerosFate;November;2018;599,00 Ä;20;20;20;ChoiceofGames;ChoiceofGames
202;DangerousHighSchoolGirlsinTrouble;May;2008;1.999,00 Ä;50;100;75;Mousechief;Mousechief
203;WintermoorTacticsClub;May;2020;1.499,00 Ä;20;50;35;EVCGames;VersusEvil
204;BROKtheInvestiGator;August;2022;1.999,00 Ä;20;50;35;COWCAT;COWCAT
205;HeroURoguetoRedemption;July;2018;2.999,00 Ä;20;20;20;TransolarGames;TransolarGames
206;YsSEVEN;August;2017;2.499,00 Ä;20;50;35;NihonFalcom;XSEEDGamesMarvelousUSAInc
207;JYDGE;October;2017;1.499,00 Ä;50;100;75;10tonsLtd;10tonsLtd
208;VirgoVersusTheZodiac;December;2019;1.999,00 Ä;50;100;75;Moonana;Moonana
209;SpellForce2AnniversaryEdition;October;2009;1.499,00 Ä;100;200;150;PhenomicTHQNordic;THQNordic
210;Kingsway;July;2017;999,00 Ä;100;200;150;AndrewMorrish;AdultSwimGames
211;DarkDeity;June;2021;1.249,00 Ä;100;200;150;Sword&AxeLLC;FreedomGames
212;DungeonSiegeII;August;2005;699,00 Ä;500;1000000;750;GasPoweredGames;SquareEnix
213;SpellForce3SoulHarvest;May;2019;1.999,00 Ä;100;200;150;GrimloreGames;THQNordic
214;FallenEnchantressLegendaryHeroes;May;2013;2.499,00 Ä;200;500;350;StardockEntertainment;StardockEntertainment
215;TheLegendofTianding;November;2021;1.999,00 Ä;50;100;75;CreativeGamesComputerGraphicsCorporation;NeonDoctrine
216;BattleChefBrigadeDeluxe;November;2017;1.999,00 Ä;100;200;150;TrinketStudios;TrinketStudios
217;Dreamscaper;August;2021;2.499,00 Ä;50;100;75;AfterburnerStudios;FreedomGamesMapleWhisperingLimited
218;IcewindDaleEnhancedEdition;October;2014;1.999,00 Ä;200;500;350;Beamdog;Beamdog
219;TheLegendofHeroesTrailsintheSkySC;October;2015;2.999,00 Ä;100;200;150;NihonFalcom;XSEEDGamesMarvelousUSAInc
220;ATOMRPGTrudograd;September;2021;1.099,00 Ä;100;200;150;AtomTeam;AtomTeam
221;FATE;May;2005;799,00 Ä;200;500;350;WildTangent;WildTangent
222;TalesofVesperiaDefinitiveEdition;January;2019;4.999,00 Ä;200;500;350;QLOCBANDAINAMCOStudiosInc;BANDAINAMCOEntertainment
223;ExpeditionsRome;January;2022;2.969,00 Ä;200;500;350;LogicArtists;THQNordic
224;RampageKnights;September;2015;1.199,00 Ä;200;500;350;RakeinGrass;RakeinGrass
225;ArcheAge;March;2015;0,00 Ä;1000000;2000000;1500000;XLGAMES;KakaoGamesEuropeBV
226;CardHunter;July;2015;0,00 Ä;1000000;2000000;1500000;TheKnightsofUnity;TheKnightsofUnity
227;TheLegendofHeroesTrailsofColdSteel;August;2017;3.999,00 Ä;200;500;350;NihonFalcom;XSEEDGamesMarvelousUSAInc
228;HandofFate2;November;2017;2.999,00 Ä;200;500;350;DefiantDevelopment;DefiantDevelopment
229;WORLDOFHORROR;February;2020;1.499,00 Ä;200;500;350;panstasz;YsbrydGames
230;MonsterSanctuary;December;2020;1.999,00 Ä;200;500;350;moiraigames;Team17
231;ImpostorFactory;September;2021;999,00 Ä;100;200;150;FreebirdGames;FreebirdGames
232;RuinedKingALeagueofLegendsStory;November;2021;2.999,00 Ä;200;500;350;AirshipSyndicate;RiotForge
233;AgeofWondersIII;March;2014;2.999,00 Ä;1000000;2000000;1500000;TriumphStudios;ParadoxInteractive
234;OCTOPATHTRAVELER;June;2019;2.999,00 Ä;500;1000000;750;SquareEnixACQUIRECorp;SquareEnix
235;Tyranny;November;2016;2.999,00 Ä;500;1000000;750;ObsidianEntertainment;ParadoxInteractive
236;TheBannerSaga;January;2014;799,00 Ä;500;1000000;750;Stoic;StoicStudio
237;YakuzaKiwami;February;2019;1.999,00 Ä;500;1000000;750;SEGA;SEGA
238;Darkwood;August;2017;1.499,00 Ä;500;1000000;750;AcidWizardStudio;AcidWizardStudio
239;TalesofBerseria;January;2017;4.999,00 Ä;500;1000000;750;BANDAINAMCOStudiosInc;BANDAINAMCOEntertainment
240;BattleBrothers;March;2017;1.499,00 Ä;500;1000000;750;OverhypeStudios;OverhypeStudios
241;GWENTTheWitcherCardGame;May;2020;0,00 Ä;1000000;2000000;1500000;CDPROJEKTRED;CDPROJEKTRED
242;STALKERCallofPripyat;February;2010;1.999,00 Ä;1000000;2000000;1500000;GSCGameWorld;GSCGameWorld
243;BioShockRemastered;September;2016;499,00 Ä;1000000;2000000;1500000;2KBoston2KAustraliaBlindSquirrelFeralInteractiveMac;2KFeralInteractiveMac
244;EliteDangerous;April;2015;2.999,00 Ä;2000000;5000000;3500000;FrontierDevelopments;FrontierDevelopments
245;TheElderScrollsOnline;May;2017;1.999,00 Ä;5000000;10000000;7500000;ZeniMaxOnlineStudios;BethesdaSoftworks
246;OceansHeart;January;2021;1.499,00 Ä;50;100;75;MaxMraz;NordcurrentLabs
247;RagnarokOnline;June;2003;0,00 Ä;500;1000000;750;GravityInteractive;GravityInteractive
248;FuryUnleashed;May;2020;1.999,00 Ä;100;200;150;AwesomeGamesStudio;AwesomeGamesStudio
249;SangFroidTalesofWerewolves;April;2013;0,00 Ä;200;500;350;ArtificeStudio;ArtificeStudio
250;ShinMegamiTenseiIIINocturneHDRemaster;May;2021;4.999,00 Ä;100;200;150;ATLUS;SEGA
251;TheIncredibleAdventuresofVanHelsingFinalCut;November;2015;449,00 Ä;500;1000000;750;NeocoreGames;NeocoreGames
252;KingsBountyTheLegend;September;2008;699,00 Ä;200;500;350;FulqrumPublishing;FulqrumPublishing
